127.0.0.1 - - [28/Mar/2017:22:36:57 +0800] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/masterpage.jsp HTTP/1.1" 200 7813
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/css/bootstrap.css HTTP/1.1" 200 165717
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/css/material-kit.css HTTP/1.1" 200 115633
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/npm.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 200 4161
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 200 8137
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 200 14137
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 200 12944
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/img/bg2.jpeg HTTP/1.1" 200 279482
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/img/bg3.jpeg HTTP/1.1" 200 272948
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/img/bg4.jpeg HTTP/1.1" 200 297175
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:05 +0800] "GET /TixToGo/img/logo2.2.2.png HTTP/1.1" 200 8364
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:08 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:08 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:09 +0800] "GET /img/arrow-right.cur HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:09 +0800] "GET /img/arrow-left.cur HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:10 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:10 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:11 +0800] "GET /img/arrow-left.cur HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:11 +0800] "GET /img/arrow-right.cur HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:11 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:11 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:11 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:11 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [28/Mar/2017:22:37:14 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
