127.0.0.1 - - [05/Apr/2017:14:56:25 +0800] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [05/Apr/2017:14:56:27 +0800] "GET /TixToGo/WEB-INF/adminLogin.jsp HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [05/Apr/2017:14:59:05 +0800] "GET /TixToGo/WEB-INF/templates/footer.jsp HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/Booking.jsp HTTP/1.1" 200 17610
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/css/bootstrap.css HTTP/1.1" 200 166193
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/css/material-kit.css HTTP/1.1" 200 150023
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/js/jquery.min.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/js/material.min.js HTTP/1.1" 200 9099
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/js/bootstrap-datepicker.js HTTP/1.1" 200 14137
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/js/nouislider.min.js HTTP/1.1" 200 12913
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/cssjsCUSTOMER/js/material-kit.js HTTP/1.1" 200 4543
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/img/movieposters/byb2.jpg HTTP/1.1" 200 304395
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:16 +0800] "GET /TixToGo/img/lumos2.png HTTP/1.1" 200 26144
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:17 +0800] "GET /TixToGo/img/movieposters/logan.jpg HTTP/1.1" 200 259262
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:17 +0800] "GET /TixToGo/img/movieposters/kong.jpg HTTP/1.1" 200 271449
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:17 +0800] "GET /TixToGo/img/movieposters/byb.jpg HTTP/1.1" 200 168559
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:17 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:17 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:18 +0800] "GET /img/arrow-right.cur HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:18 +0800] "GET /img/arrow-left.cur HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:19 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:19 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:19 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:19 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:21 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:21 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:22 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:26 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
