127.0.0.1 - - [06/Jul/2017:14:59:39 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:43 +0800] "GET /TixToGo/HomePage.jsp HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/css/bootstrap.css HTTP/1.1" 200 141112
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/css/material-kit.css HTTP/1.1" 200 122687
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/js/jquery.min.js HTTP/1.1" 200 93868
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/js/nouislider.min.js HTTP/1.1" 200 12913
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/js/material.min.js HTTP/1.1" 200 9099
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/js/material-kit.js HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/cssjsCUSTOMER/js/bootstrap-datepicker.js HTTP/1.1" 200 14137
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:44 +0800] "GET /TixToGo/img/movieposters/byb.jpg HTTP/1.1" 200 168559
0:0:0:0:0:0:0:1 - - [06/Jul/2017:14:59:46 +0800] "GET /TixToGo/img/banner3-01-01.png HTTP/1.1" 200 2549653
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/HomePage.jsp HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:17 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:20 +0800] "GET /TixToGo/HomePage.jsp HTTP/1.1" 200 8457
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:20 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:20 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:20 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:20 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:00:20 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1096
